variant,strategy,tier,dev_n,dev_clv_pts,dev_clv_prob_pp,dev_ev_pct,dev_ev_z,dev_win_pct,dev_flat_roi_pct,y2025_n,y2025_clv_pts,y2025_clv_prob_pp,y2025_ev_pct,y2025_flat_roi_pct,kelly_2024_track_pp,kelly_2024_bets,kelly_2024_expected_growth_pct,kelly_2024_realized_growth_pct,kelly_2025_track_pp,kelly_2025_bets,kelly_2025_expected_growth_pct,kelly_2025_realized_growth_pct,dev_ev_holm_pass
best_book,totals|A|kmulti_minus_rush_epa_total,prior_week,557,0.9156,2.4738,0.418,0.8869,54.1971,3.5673,277,0.6625,1.861,-1.6492,2.9555,2.687,254,0.3556,10.2766,2.4738,215,-0.1114,4.4446,False
best_book,spreads|B|kalman_score_epa,prior_week,554,0.6236,2.2953,0.0708,0.1646,51.487,-1.5727,271,0.9022,3.2068,1.1388,-0.4199,2.442,194,-1.1698,-14.0701,2.2953,63,1.4078,2.2786,False
best_book,totals|C|kmulti_minus_pass_epa_total,prior_week,557,0.9417,2.5813,0.8488,1.7882,56.4338,7.8619,277,0.7329,2.0669,-1.5804,0.2337,2.79,260,0.2677,11.6434,2.5813,201,-0.0617,4.3243,False
best_book,totals|C|kmulti_success_total,prior_week,557,0.9237,2.5367,0.8024,1.7552,54.2279,3.7114,277,0.7112,2.0133,-1.5314,-2.244,2.8174,262,0.2768,5.7798,2.5367,202,-0.0751,1.0768,False
best_book,spreads|B|opp_adjusted,prior_week,554,0.5993,2.2135,-0.1209,-0.2633,52.037,-0.4836,271,0.9465,3.3511,1.3747,0.9488,2.2509,115,-1.1524,-11.7084,2.2135,60,1.3385,2.3828,False
best_book,spreads|B|success_rate,prior_week,554,0.5415,2.0225,-0.4483,-0.8431,51.107,-2.2374,271,0.9465,3.3511,1.3747,0.9488,2.0779,108,-1.0061,-15.9871,2.0225,45,1.1915,2.4877,False
stale_book,totals|market|stale_book,prior_week,301,0.4767,1.3652,-1.6972,-3.185,48.6486,-6.8106,123,0.439,1.2287,-4.167,1.2072,1.2578,15,0.2895,2.153,1.3652,9,-0.1055,1.0848,False
best_book,totals|C|wired_W7_total,prior_week,557,0.9345,2.5753,0.7869,1.5552,54.1284,3.5515,277,0.6986,1.9749,-1.4408,-4.1424,2.8455,260,0.2421,5.4639,2.5753,210,-0.0938,1.0616,False
best_book,spreads|B|epa_neutral,prior_week,554,0.5713,2.1077,-0.2833,-0.6682,52.7778,0.9084,271,0.9465,3.3511,1.3747,0.9488,2.0847,107,-1.1078,-7.8447,2.1077,48,1.2555,2.4464,False
best_book,spreads|A|wired_W4,prior_week,260,0.5423,2.0492,-0.5599,-0.8949,50.5882,-3.2602,252,0.496,1.8729,-2.1304,-3.7512,,0,0.0,0.0,2.0492,41,0.1331,2.2437,False
best_book,spreads|C|success_rate,prior_week,554,0.5569,2.0901,-0.2715,-0.5364,50.4638,-3.4669,271,0.7786,2.7771,0.1217,-1.0554,2.2371,119,-1.1508,-18.0782,2.0901,49,1.2773,-0.8681,False
best_book,totals|A|dynamic_state,prior_week,557,0.8582,2.3329,0.4055,0.807,56.3869,7.9102,277,0.6588,1.8659,-1.3226,-2.1463,2.5452,255,0.0928,16.1022,2.3329,54,0.0192,0.8354,False
reference,spreads|baseline|always_away,prior_week,554,-0.083,-0.3026,-5.0049,-10.5991,49.8127,-4.4946,271,-0.2454,-0.8712,-6.7276,-8.0633,-0.5289,2,0.1004,1.1721,-0.3026,1,-0.0024,0.0079,False
best_book,totals|C|kmulti_minus_explosive_total,prior_week,557,0.8914,2.4454,0.6047,1.2658,53.211,1.8143,277,0.7653,2.1704,-1.3564,-4.3741,2.7749,262,0.0926,0.8922,2.4454,197,0.0001,1.1559,False
best_book,spreads|A|trenches,prior_week,554,0.4738,1.7432,-0.9261,-1.8871,51.8587,-0.8372,271,0.7288,2.6047,-0.9795,-1.3153,1.468,86,-0.7004,-3.6566,1.7432,33,0.7811,2.2807,False
