read_at	http	secs	uptime_s	derived_start	crossed	interval_s
2026-09-20T00:13:22Z	000	25.001864				60
2026-09-20T00:14:22Z	200	12.832065	8	2026-09-20T00:14:27Z	crossed	60
2026-09-20T00:15:22Z	200	5.595142	61	2026-09-20T00:14:27Z	ok	60
2026-09-20T00:16:22Z	000	25.002274				60
2026-09-20T00:17:22Z	200	20.021903	15	2026-09-20T00:17:27Z	crossed	60
2026-09-20T00:18:22Z	200	0.342566	55	2026-09-20T00:17:27Z	ok	60
2026-09-20T00:19:22Z	000	25.001145				60
2026-09-20T00:20:22Z	200	19.485436	15	2026-09-20T00:20:27Z	crossed	60
2026-09-20T00:21:22Z	200	0.342802	55	2026-09-20T00:20:27Z	ok	60
2026-09-20T00:22:22Z	000	25.001287				60
2026-09-20T00:23:22Z	200	15.415292	12	2026-09-20T00:23:26Z	crossed	60
2026-09-20T00:24:22Z	200	0.371898	56	2026-09-20T00:23:26Z	ok	60
2026-09-20T00:25:22Z	000	25.002479				60
2026-09-20T00:26:22Z	200	15.438245	12	2026-09-20T00:26:26Z	crossed	60
2026-09-20T00:27:22Z	200	0.434719	56	2026-09-20T00:26:26Z	ok	60
2026-09-20T00:28:22Z	000	25.001569				60
2026-09-20T00:29:22Z	200	15.756944	12	2026-09-20T00:29:26Z	crossed	60
2026-09-20T00:30:22Z	200	0.384095	56	2026-09-20T00:29:27Z	ok	60
2026-09-20T00:31:22Z	000	25.002456				60
2026-09-20T00:32:22Z	200	18.100515	14	2026-09-20T00:32:26Z	crossed	60
2026-09-20T00:33:22Z	200	0.446473	56	2026-09-20T00:32:26Z	ok	60
2026-09-20T00:34:22Z	000	25.001558				60
2026-09-20T00:35:22Z	200	10.330589	8	2026-09-20T00:35:25Z	crossed	60
2026-09-20T00:36:22Z	200	0.499083	58	2026-09-20T00:35:24Z	ok	60
2026-09-20T00:37:22Z	000	25.001173				60
2026-09-20T00:38:22Z	200	22.123223	18	2026-09-20T00:38:27Z	crossed	60
2026-09-20T00:39:22Z	200	0.444643	55	2026-09-20T00:38:27Z	ok	60
2026-09-20T00:40:22Z	000	25.001942				60
2026-09-20T00:41:22Z	200	19.609384	15	2026-09-20T00:41:27Z	crossed	60
