read_at	http	secs	uptime_s	derived_start	crossed	interval_s
2026-09-20T08:20:48Z	200	0.406310	78	2026-09-20T08:19:30Z	ok	60
2026-09-20T08:21:48Z	000	25.001179				60
2026-09-20T08:22:48Z	200	0.336070	18	2026-09-20T08:22:30Z	ok	60
2026-09-20T08:23:48Z	200	0.423507	78	2026-09-20T08:22:30Z	ok	60
2026-09-20T08:24:48Z	000	25.000909				60
2026-09-20T08:25:48Z	200	0.294901	19	2026-09-20T08:25:29Z	ok	60
2026-09-20T08:26:48Z	200	0.445326	78	2026-09-20T08:25:30Z	ok	60
2026-09-20T08:27:48Z	000	25.000962				60
2026-09-20T08:28:48Z	200	0.340805	19	2026-09-20T08:28:30Z	ok	60
2026-09-20T08:29:48Z	200	0.396773	78	2026-09-20T08:28:30Z	ok	60
2026-09-20T08:30:48Z	000	25.001326				60
2026-09-20T08:31:48Z	200	0.376392	18	2026-09-20T08:31:31Z	ok	60
2026-09-20T08:32:48Z	200	0.340309	78	2026-09-20T08:31:30Z	ok	60
2026-09-20T08:33:48Z	000	25.001370				60
2026-09-20T08:34:48Z	200	0.379824	19	2026-09-20T08:34:30Z	ok	60
2026-09-20T08:35:48Z	200	0.341271	78	2026-09-20T08:34:30Z	ok	60
2026-09-20T08:36:48Z	000	25.001052				60
2026-09-20T08:37:48Z	200	12.816235	45	2026-09-20T08:37:16Z	ok	60
2026-09-20T08:38:48Z	200	0.418136	93	2026-09-20T08:37:16Z	ok	60
2026-09-20T08:39:48Z	000	25.002704				60
2026-09-20T08:40:48Z	200	0.427595	42	2026-09-20T08:40:06Z	ok	60
2026-09-20T08:41:48Z	200	0.388546	103	2026-09-20T08:40:06Z	ok	60
2026-09-20T08:42:48Z	000	25.002619				60
2026-09-20T08:43:48Z	200	0.363020	49	2026-09-20T08:42:59Z	ok	60
2026-09-20T08:44:48Z	000	25.002081				60
2026-09-20T08:45:48Z	200	24.707669	20	2026-09-20T08:45:53Z	crossed	60
2026-09-20T08:46:48Z	200	0.370683	56	2026-09-20T08:45:52Z	ok	60
2026-09-20T08:47:48Z	000	25.001968				60
2026-09-20T08:48:48Z	200	12.640972	15	2026-09-20T08:48:45Z	ok	60
2026-09-20T08:49:48Z	200	0.382338	64	2026-09-20T08:48:45Z	ok	60
2026-09-20T08:50:48Z	000	25.001647				60
2026-09-20T08:51:48Z	200	0.341097	13	2026-09-20T08:51:35Z	ok	60
2026-09-20T08:52:48Z	200	0.384330	73	2026-09-20T08:51:36Z	ok	60
2026-09-20T08:53:48Z	000	25.001390				60
2026-09-20T08:54:48Z	200	0.314738	20	2026-09-20T08:54:28Z	ok	60
2026-09-20T08:55:48Z	200	0.407789	80	2026-09-20T08:54:29Z	ok	60
2026-09-20T08:56:48Z	000	25.001531				60
2026-09-20T08:57:48Z	200	0.317262	19	2026-09-20T08:57:29Z	ok	60
2026-09-20T08:58:48Z	200	0.327569	79	2026-09-20T08:57:30Z	ok	60
2026-09-20T08:59:48Z	000	25.001981				60
2026-09-20T09:00:48Z	200	0.362636	18	2026-09-20T09:00:30Z	ok	60
2026-09-20T09:01:48Z	200	10.822084	89	2026-09-20T09:00:30Z	ok	60
2026-09-20T09:02:48Z	000	25.001967				60
2026-09-20T09:03:48Z	200	0.327394	19	2026-09-20T09:03:30Z	ok	60
2026-09-20T09:04:48Z	200	0.312962	79	2026-09-20T09:03:29Z	ok	60
2026-09-20T09:05:48Z	000	25.001268				60
2026-09-20T09:06:48Z	200	24.292575	58	2026-09-20T09:06:14Z	ok	60
2026-09-20T09:07:48Z	200	0.286040	93	2026-09-20T09:06:15Z	ok	60
2026-09-20T09:08:48Z	200	21.299864	8	2026-09-20T09:09:01Z	crossed	60
2026-09-20T09:09:48Z	200	0.367092	48	2026-09-20T09:09:01Z	ok	60
2026-09-20T09:10:48Z	000	25.001137				60
2026-09-20T09:11:48Z	200	15.433556	17	2026-09-20T09:11:46Z	ok	60
2026-09-20T09:12:48Z	200	23.460943	85	2026-09-20T09:11:47Z	ok	60
2026-09-20T09:13:48Z	000	25.000936				60
2026-09-20T09:14:48Z	200	3.556424	13	2026-09-20T09:14:39Z	ok	60
2026-09-20T09:15:48Z	200	0.328097	69	2026-09-20T09:14:39Z	ok	60
2026-09-20T09:16:48Z	000	25.001609				60
2026-09-20T09:17:48Z	200	0.326656	19	2026-09-20T09:17:30Z	ok	60
2026-09-20T09:18:48Z	200	0.361796	78	2026-09-20T09:17:30Z	ok	60
2026-09-20T09:19:48Z	000	25.001546				60
