table,pick_path_status,pick_path_readers,other_prod_readers
nfl_ffopportunity_weekly,used-in-pick-path,server/services/ffopportunity.js,server/services/draft-assist.js;server/services/offseason-data.js;server/services/player-repair.js;server/services/preseason-model.js
nfl_game_variance,used-outside-pick-path,,server/services/nfl-expert-coordinator.js;server/services/nfl-postgame-truth.js
nfl_game_weather,used-in-pick-path,server/services/nfl-t60-packet.js,server/services/nfl-data-consistency.js;server/services/nfl-gbm.js;server/services/nfl-weather-history.js;server/services/nfl-weather.js
nfl_game_weather_forecast_history,used-in-pick-path,server/services/nfl-t60-packet.js,server/services/nfl-data-consistency.js;server/services/nfl-weather-history.js
nfl_historical_adp,used-outside-pick-path,,server/services/consensus-weights.js;server/services/historical-adp-scrapes.js;server/services/historical-adp.js;server/services/preseason-model.js
nfl_historical_adp_scrape,used-outside-pick-path,,server/services/historical-adp-scrapes.js
nfl_historical_engine_replay,used-outside-pick-path,,server/services/nfl-engine-backfill.js
nfl_historical_ffc_adp,used-outside-pick-path,,server/services/consensus-weights.js
nfl_historical_signal_replay,used-outside-pick-path,,server/services/nfl-diagnostic.js;server/services/nfl-engine-backfill.js
nfl_injuries,used-in-pick-path,server/services/football-context.js;server/services/nfl-advanced.js;server/services/nfl-availability.js;server/services/nfl-bitemporal.js,server/migrations/052_line_snapshot_receipt_clock.js;server/routes/model.js;server/services/audit-registry.js;server/services/boom-bust.js
nfl_learning_epochs,used-in-pick-path,server/services/nfl-engine-registry.js,
nfl_line_snapshots,used-in-pick-path,server/services/book-feeds.js;server/services/clv-core.js;server/services/line-shopping.js;server/services/nfl-sharp.js,server/betting/nfl/strategy/teaser-scan.js;server/migrations/035_alt_spread_capture.js;server/migrations/049_line_snapshots_market_captured_index.js;server/migrations/052_line_snapshot_receipt_clock.js
nfl_live_possession_predictions,used-outside-pick-path,,server/services/nfl-expert-council.js;server/services/nfl-live-ledger.js
nfl_live_possession_settlements,used-outside-pick-path,,server/services/nfl-expert-council.js;server/services/nfl-live-ledger.js
nfl_model_experiments,used-outside-pick-path,,server/services/nfl-evidence.js;server/services/nfl-experiments.js
nfl_model_growth_runs,used-outside-pick-path,,server/services/nfl-model-growth.js
nfl_model_watch_runs,used-outside-pick-path,,server/services/nfl-model-watch.js
nfl_neural_replay_audits,used-in-pick-path,server/services/nfl-replay.js,
nfl_news_event_extraction_cache,used-outside-pick-path,,server/migrations/019_nfl_news_events.js;server/services/nfl-news-events.js
nfl_news_events,used-in-pick-path,server/services/nfl-t60-packet.js,server/migrations/019_nfl_news_events.js;server/services/nfl-news-event-impact.js;server/services/nfl-news-events.js;scripts/run-news-event-impact.mjs
nfl_news_extraction_attempts,used-in-pick-path,server/services/nfl-news-signal.js,
nfl_news_signals,used-in-pick-path,server/services/nfl-news-signal.js;server/services/scheduler.js,server/migrations/019_nfl_news_events.js;server/migrations/053_nfl_news_signals_versioning.js;server/routes/teams.js;server/services/nfl-blind-audit.js
nfl_nfelo_games,used-in-pick-path,server/services/nfelo.js;server/services/nfl-ensemble.js,server/services/nfl-blind-audit.js
nfl_nfelo_lines,used-in-pick-path,server/services/nfelo.js,
nfl_nfelo_qb,used-in-pick-path,server/services/nfelo.js;server/services/nfl-ensemble.js,
nfl_ngs,used-in-pick-path,server/services/nfl-advanced.js;server/services/nfl-engine-registry.js;server/services/nfl-player-value.js,server/routes/model.js;server/services/nfl-blind-audit.js;server/services/nfl-data-consistency.js;server/services/nfl-engine-backfill.js
nfl_odds_archive,used-outside-pick-path,,server/migrations/047_backfill_open_spread_pinnacle_2022_2025.js;server/migrations/052_line_snapshot_receipt_clock.js;server/services/beat-the-close.js;server/services/line-move-study.js
nfl_officials,used-outside-pick-path,,server/services/nfl-officials.js;server/services/nfl-team-card.js
nfl_online_neural_artifacts,used-in-pick-path,server/services/nfl-engine-registry.js;server/services/nfl-online-neural.js,
nfl_online_neural_examples,used-in-pick-path,server/services/nfl-online-neural.js,server/services/nfl-risk-lab.js
nfl_orthogonal_specialist_artifacts,used-outside-pick-path,,server/services/nfl-orthogonal-specialists.js
nfl_page_explain_audits,used-outside-pick-path,,server/services/nfl-page-explain-audit.js
