table,source,live_rows,repo_copy_rows,extract_rows,writers
nfl_injuries,derived/app,28585,27983,28574,server/services/nfl-advanced.js
nfl_learning_epochs,derived/app,,1,1,server/services/nfl-engine-registry.js
nfl_line_snapshots,The Odds API,2664081,10263,0,server/services/book-feeds-extra.js;server/services/book-feeds.js;server/services/line-shopping.js;server/services/odds-archive.js;server/services/sportsgameodds.js
nfl_live_possession_predictions,derived/app,,,0,server/services/nfl-live-ledger.js
nfl_live_possession_settlements,derived/app,,,0,server/services/nfl-live-ledger.js
nfl_model_experiments,derived/app,,0,0,server/services/nfl-experiments.js
nfl_model_growth_runs,model registry (derived),,1,0,server/services/nfl-model-growth.js
nfl_model_watch_runs,model registry (derived),,,0,server/services/nfl-model-watch.js
nfl_neural_replay_audits,replay/backtest (derived),,0,0,server/services/nfl-replay.js
nfl_news_event_extraction_cache,no writer found in repo (legacy/unused or written by deleted code),44,,,
nfl_news_events,no writer found in repo (legacy/unused or written by deleted code),30,,,
nfl_news_extraction_attempts,news feeds (ESPN/RSS/Twitter),416,0,0,server/services/nfl-news-signal.js
nfl_news_signals,news feeds (ESPN/RSS/Twitter),704,26,0,server/services/nfl-news-signal.js
nfl_nfelo_games,nfelo (third-party ratings),,1709,1725,server/services/nfelo.js
nfl_nfelo_lines,nfelo (third-party ratings),,1709,0,server/services/nfelo.js
nfl_nfelo_qb,nfelo (third-party ratings),,1709,1725,server/services/nfelo.js
nfl_ngs,derived/app,,11860,0,server/services/nfl-advanced.js
nfl_odds_archive,The Odds API,135930,0,0,server/services/odds-archive.js
nfl_officials,derived/app,,,0,server/services/nfl-officials.js
nfl_online_neural_artifacts,derived/app,,0,0,server/services/nfl-online-neural.js
nfl_online_neural_examples,derived/app,,0,0,server/services/nfl-online-neural.js
nfl_orthogonal_specialist_artifacts,derived/app,,0,0,server/services/nfl-orthogonal-specialists.js
nfl_page_explain_audits,model audit (derived),,,0,server/services/nfl-page-explain-audit.js
nfl_pfr_adv,derived/app,,25058,25147,server/services/nfl-advanced.js
nfl_pick_decisions,decision tape (derived),16,16,0,server/services/nfl-decision-tape.js
nfl_pick_explanation_audits,model audit (derived),,0,0,server/services/nfl-pick-explanation-audit.js
nfl_pick_watch_log,derived/app,,,0,server/services/nfl-pick-watch.js
nfl_play_by_play,ESPN,,0,0,server/services/nfl-espn-pbp.js
nfl_play_charting,derived/app,,0,0,server/services/nfl-formations.js
nfl_play_formations,derived/app,,0,0,server/services/nfl-formations.js
nfl_player_feature_vectors,features (derived),,0,0,server/services/nfl-weekly-feature-store.js
nfl_player_roster_events,derived/app,74,21,0,server/services/nfl-player-state.js
nfl_player_state_quarantine,derived/app,,113,0,server/services/nfl-player-state.js
nfl_player_week_features,derived/app,,52231,0,server/services/nfl-pbp.js
nfl_policy_audits,replay/backtest (derived),,0,0,server/services/nfl-replay.js
nfl_postgame_truth_packets,derived/app,,0,0,server/services/nfl-postgame-truth.js
nfl_pregame_snapshot_history,derived/app,4554,32,0,server/services/nfl-pregame.js
nfl_prop_calibration_fits,derived/app,,0,0,server/services/nfl-prop-calibration.js
nfl_prop_clv,derived/app,101820,2539,0,server/services/nfl-prop-clv.js
nfl_prop_policy_archive,derived/app,,1,0,server/services/nfl-prop-clv.js
nfl_prop_quote_snapshots,prop feeds (Odds API / SGO),,2539,0,server/services/nfl-props.js;server/services/prop-feeds.js
nfl_qbr_weekly,ESPN QBR,,540,5844,server/services/nfl-qbr.js
nfl_quote_batches,The Odds API,,3,0,server/services/nfl-quote-tape.js
nfl_quote_tape,The Odds API,2402198,4080,0,server/services/nfl-quote-tape.js
nfl_replay_bets,replay/backtest (derived),0,0,0,server/services/nfl-replay.js
nfl_replay_runs,replay/backtest (derived),,0,0,server/services/nfl-replay.js
nfl_residual_audits,derived/app,,1,0,server/services/nfl-research.js
nfl_risk_lab_artifacts,derived/app,,0,0,server/services/nfl-risk-lab.js
nfl_risk_lab_predictions,derived/app,,0,0,server/services/nfl-risk-lab.js
nfl_rookie_evidence,derived/app,,0,0,server/services/nfl-rookies.js
nfl_roster_snapshots,derived/app,,9726,0,server/services/nfl-player-state.js
nfl_rule_state,derived/app,,0,0,server/services/beat-the-close.js
nfl_signal_reliability_artifacts,signals (derived),,0,0,server/services/nfl-signal-reliability.js
nfl_signal_snapshots,derived/app,,544,0,server/services/beat-the-close.js
nfl_sim_calibration_artifacts,drive sim (derived),,0,0,server/services/nfl-sim-calibration.js
nfl_snaps,derived/app,127958,126561,127958,server/services/nfl-advanced.js
nfl_source_registry,derived/app,,7,0,server/services/nfl-evidence.js
nfl_stadiums,nfelo (third-party ratings),,67,0,server/services/nfelo.js
nfl_team_cards,derived/app,,0,0,server/services/nfl-team-card.js
nfl_team_coaches,derived/app,384,0,0,server/services/nfl-coaches.js
nfl_team_feature_vectors,features (derived),,0,0,server/services/nfl-weekly-feature-store.js
nfl_team_stadiums,nfelo (third-party ratings),,59,0,server/services/nfelo.js
nfl_team_week_features,derived/app,,5278,5395,server/services/nfl-pbp.js
nfl_teams,no writer found in repo (legacy/unused or written by deleted code),,32,0,
nfl_teaser_executions,no writer found in repo (legacy/unused or written by deleted code),1,,,
nfl_teaser_price_ledger,derived/app,,0,0,server/services/nfl-profitability.js
nfl_top100,derived/app,,100,0,server/routes/accolades.js
nfl_total_calibrations,derived/app,,,0,server/services/nfl-total-calibration.js
nfl_total_picks,derived/app,,0,0,server/services/nfl-props.js
